account_num,net_change,tag,tag_depth,cik
3645,-1072900000.0,LiabilitiesNoncurrent,2,"1941365_MASTERBRAND, INC."
3796,-155500000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,"1941365_MASTERBRAND, INC."
3379,-50600000.0,OperatingLeaseLiabilityNoncurrent,3,"1941365_MASTERBRAND, INC."
3303,-917400000.0,LongTermDebtAndCapitalLeaseObligations,2,"1941365_MASTERBRAND, INC."
3308,-917400000.0,LongTermDebtNoncurrent,2,"1941365_MASTERBRAND, INC."
3154,-388800000.0,LiabilitiesCurrent,2,"1941365_MASTERBRAND, INC."
3017,-149400000.0,OtherLiabilitiesCurrent,2,"1941365_MASTERBRAND, INC."
2737,-22200000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,"1941365_MASTERBRAND, INC."
2347,-202800000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,"1941365_MASTERBRAND, INC."
2398,-202800000.0,AccountsPayableCurrent,2,"1941365_MASTERBRAND, INC."
2089,2508100000.0,Assets,1,"1941365_MASTERBRAND, INC."
3465,-1461700000.0,Liabilities,1,"1941365_MASTERBRAND, INC."
2091,1697500000.0,AssetsNoncurrent,2,"1941365_MASTERBRAND, INC."
1827,1269100000.0,IntangibleAssetsNetIncludingGoodwill,2,"1941365_MASTERBRAND, INC."
2041,21600000.0,OtherAssetsNoncurrent,2,"1941365_MASTERBRAND, INC."
2638,-22200000.0,DebtCurrent,2,"1941365_MASTERBRAND, INC."
2903,-35000000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,"1941365_MASTERBRAND, INC."
1912,-35000000.0,NetIncomeLoss,1,"1941365_MASTERBRAND, INC."
3750,-4900000.0,AdditionalPaidInCapital,1,"1941365_MASTERBRAND, INC."
2257,-47900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,"1941365_MASTERBRAND, INC."
2149,-83100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,"1941365_MASTERBRAND, INC."
1854,17400000.0,InterestAndDebtExpense,2,"1941365_MASTERBRAND, INC."
1709,17400000.0,InterestExpense,1,"1941365_MASTERBRAND, INC."
1264,-65700000.0,OperatingIncomeLoss,1,"1941365_MASTERBRAND, INC."
1112,139300000.0,OperatingExpenses,1,"1941365_MASTERBRAND, INC."
601,135300000.0,SellingGeneralAndAdministrativeExpense,3,"1941365_MASTERBRAND, INC."
3661,-1300000.0,CommonStockValue,3,"1941365_MASTERBRAND, INC."
232,-204600000.0,GrossProfit,1,"1941365_MASTERBRAND, INC."
3917,-2508100000.0,LiabilitiesAndStockholdersEquity,2,"1941365_MASTERBRAND, INC."
3260,-1046400000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,"1941365_MASTERBRAND, INC."
1077,-60800000.0,ProfitLoss,2,"1941365_MASTERBRAND, INC."
1732,345300000.0,IntangibleAssetsNetExcludingGoodwill,2,"1941365_MASTERBRAND, INC."
2590,-35000000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,"1941365_MASTERBRAND, INC."
3316,-1046400000.0,StockholdersEquity,1,"1941365_MASTERBRAND, INC."
3834,-1057500000.0,RetainedEarningsAccumulatedDeficit,1,"1941365_MASTERBRAND, INC."
173,-676700000.0,Revenues,1,"1941365_MASTERBRAND, INC."
1711,923800000.0,Goodwill,1,"1941365_MASTERBRAND, INC."
1820,-60800000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,"1941365_MASTERBRAND, INC."
1634,62800000.0,OperatingLeaseRightOfUseAsset,2,"1941365_MASTERBRAND, INC."
456,4000000.0,DepreciationAndAmortization,4,"1941365_MASTERBRAND, INC."
144,472100000.0,CostOfRevenue,1,"1941365_MASTERBRAND, INC."
171,472100000.0,CostOfGoodsAndServicesSold,2,"1941365_MASTERBRAND, INC."
3809,-14500000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,"1941365_MASTERBRAND, INC."
2399,12900000.0,IncomeTaxExpenseBenefit,1,"1941365_MASTERBRAND, INC."
3817,2800000.0,TreasuryStockValue,2,"1941365_MASTERBRAND, INC."
260,349600000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,"1941365_MASTERBRAND, INC."
581,4000000.0,OperatingCostsAndExpenses,2,"1941365_MASTERBRAND, INC."
455,349600000.0,InventoryNet,2,"1941365_MASTERBRAND, INC."
207,278300000.0,AccountsNotesAndLoansReceivableNetCurrent,4,"1941365_MASTERBRAND, INC."
229,278300000.0,AccountsReceivableNetCurrent,3,"1941365_MASTERBRAND, INC."
59,-8500000.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,"1941365_MASTERBRAND, INC."
577,116300000.0,CashCashEquivalentsAndShortTermInvestments,4,"1941365_MASTERBRAND, INC."
645,116300000.0,CashAndCashEquivalentsAtCarryingValue,3,"1941365_MASTERBRAND, INC."
3494,-8300000.0,OtherLiabilitiesNoncurrent,2,"1941365_MASTERBRAND, INC."
3383,-84400000.0,DeferredIncomeTaxLiabilitiesNet,2,"1941365_MASTERBRAND, INC."
320,278300000.0,ReceivablesNetCurrent,3,"1941365_MASTERBRAND, INC."
1368,344000000.0,PropertyPlantAndEquipmentNet,4,"1941365_MASTERBRAND, INC."
757,66400000.0,OtherAssetsCurrent,2,"1941365_MASTERBRAND, INC."
1025,4000000.0,AmortizationOfIntangibleAssets,1,"1941365_MASTERBRAND, INC."
868,810600000.0,AssetsCurrent,2,"1941365_MASTERBRAND, INC."
3812,2800000.0,TreasuryStockCommonValue,3,"1941365_MASTERBRAND, INC."
1922,400000.0,OtherExpenses,1,"1941365_MASTERBRAND, INC."
2716,-22200000.0,LongTermDebtCurrent,2,"1941365_MASTERBRAND, INC."
3540,-12200000.0,PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,5,"1941365_MASTERBRAND, INC."
3564,-12200000.0,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3,"1941365_MASTERBRAND, INC."
845,4000000.0,AmortizationOfDeferredCharges,1,"1941365_MASTERBRAND, INC."
1515,-400000.0,OtherOperatingIncomeExpenseNet,2,"1941365_MASTERBRAND, INC."
