account_num,net_change,tag,tag_depth,cik
645,42718000.0,CashAndCashEquivalentsAtCarryingValue,3,63296_MATTHEWS INTERNATIONAL CORP
1079,2398000.0,RestrictedCashCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
3645,-1031281000.0,LiabilitiesNoncurrent,2,63296_MATTHEWS INTERNATIONAL CORP
3796,-197154000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,63296_MATTHEWS INTERNATIONAL CORP
3379,-54053000.0,OperatingLeaseLiabilityNoncurrent,3,63296_MATTHEWS INTERNATIONAL CORP
3303,-834127000.0,LongTermDebtAndCapitalLeaseObligations,2,63296_MATTHEWS INTERNATIONAL CORP
3308,-834127000.0,LongTermDebtNoncurrent,2,63296_MATTHEWS INTERNATIONAL CORP
3154,-366744000.0,LiabilitiesCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
3017,-189303000.0,OtherLiabilitiesCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
2638,-2977000.0,DebtCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
2737,-2977000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,63296_MATTHEWS INTERNATIONAL CORP
2347,-151493000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,63296_MATTHEWS INTERNATIONAL CORP
2398,-101279000.0,AccountsPayableCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
2089,1902942000.0,Assets,1,63296_MATTHEWS INTERNATIONAL CORP
2091,1005014000.0,AssetsNoncurrent,2,63296_MATTHEWS INTERNATIONAL CORP
2041,15023000.0,OtherAssetsNoncurrent,2,63296_MATTHEWS INTERNATIONAL CORP
1827,885771000.0,IntangibleAssetsNetIncludingGoodwill,2,63296_MATTHEWS INTERNATIONAL CORP
1732,193756000.0,IntangibleAssetsNetExcludingGoodwill,2,63296_MATTHEWS INTERNATIONAL CORP
1711,692015000.0,Goodwill,1,63296_MATTHEWS INTERNATIONAL CORP
1634,74613000.0,OperatingLeaseRightOfUseAsset,2,63296_MATTHEWS INTERNATIONAL CORP
868,633244000.0,AssetsCurrent,2,63296_MATTHEWS INTERNATIONAL CORP
260,245565000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,63296_MATTHEWS INTERNATIONAL CORP
455,245565000.0,InventoryNet,2,63296_MATTHEWS INTERNATIONAL CORP
320,221613000.0,ReceivablesNetCurrent,3,63296_MATTHEWS INTERNATIONAL CORP
207,221613000.0,AccountsNotesAndLoansReceivableNetCurrent,4,63296_MATTHEWS INTERNATIONAL CORP
229,221613000.0,AccountsReceivableNetCurrent,3,63296_MATTHEWS INTERNATIONAL CORP
1071,2398000.0,RestrictedCashAndInvestmentsCurrent,3,63296_MATTHEWS INTERNATIONAL CORP
1549,2398000.0,RestrictedCashAndCashEquivalentsAtCarryingValue,3,63296_MATTHEWS INTERNATIONAL CORP
577,42718000.0,CashCashEquivalentsAndShortTermInvestments,4,63296_MATTHEWS INTERNATIONAL CORP
3465,-1398025000.0,Liabilities,1,63296_MATTHEWS INTERNATIONAL CORP
3661,-36334000.0,CommonStockValue,3,63296_MATTHEWS INTERNATIONAL CORP
