account_num,net_change,tag,tag_depth,cik
3917,-467800000000.0,LiabilitiesAndStockholdersEquity,2,927628_CAPITAL ONE FINANCIAL CORP
173,-18253000000.0,Revenues,1,927628_CAPITAL ONE FINANCIAL CORP
232,-23538000000.0,GrossProfit,1,927628_CAPITAL ONE FINANCIAL CORP
597,1358000000.0,GeneralAndAdministrativeExpense,2,927628_CAPITAL ONE FINANCIAL CORP
601,3141000000.0,SellingGeneralAndAdministrativeExpense,3,927628_CAPITAL ONE FINANCIAL CORP
1112,5007000000.0,OperatingExpenses,1,927628_CAPITAL ONE FINANCIAL CORP
3260,-54559000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,927628_CAPITAL ONE FINANCIAL CORP
1264,-28545000000.0,OperatingIncomeLoss,1,927628_CAPITAL ONE FINANCIAL CORP
1854,3053000000.0,InterestAndDebtExpense,2,927628_CAPITAL ONE FINANCIAL CORP
2149,-31598000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,927628_CAPITAL ONE FINANCIAL CORP
2257,-1728000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,927628_CAPITAL ONE FINANCIAL CORP
819,400000000.0,DeferredIncomeTaxExpenseBenefit,1,927628_CAPITAL ONE FINANCIAL CORP
2399,500000000.0,IncomeTaxExpenseBenefit,1,927628_CAPITAL ONE FINANCIAL CORP
1820,-2228000000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,927628_CAPITAL ONE FINANCIAL CORP
1709,3053000000.0,InterestExpense,1,927628_CAPITAL ONE FINANCIAL CORP
3316,-54559000000.0,StockholdersEquity,1,927628_CAPITAL ONE FINANCIAL CORP
3834,-59028000000.0,RetainedEarningsAccumulatedDeficit,1,927628_CAPITAL ONE FINANCIAL CORP
3750,-35163000000.0,AdditionalPaidInCapital,1,927628_CAPITAL ONE FINANCIAL CORP
645,41596000000.0,CashAndCashEquivalentsAtCarryingValue,3,927628_CAPITAL ONE FINANCIAL CORP
577,41596000000.0,CashCashEquivalentsAndShortTermInvestments,4,927628_CAPITAL ONE FINANCIAL CORP
